"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2038","User login with wrong email or password","LMS system","Thu Apr 30 16:56:13 UTC 2026","passed","Thu Apr 30 16:56:15 UTC 2026","Authorization","Authentication","",""
"","1687","User login with wrong email or password","LMS system","Thu Apr 30 16:56:15 UTC 2026","passed","Thu Apr 30 16:56:17 UTC 2026","Authorization","Authentication","",""
"","3422","Create course","LMS system","Thu Apr 30 16:56:23 UTC 2026","passed","Thu Apr 30 16:56:26 UTC 2026","Courses","Courses","",""
"","1457","User login with wrong email or password","LMS system","Thu Apr 30 16:56:17 UTC 2026","passed","Thu Apr 30 16:56:18 UTC 2026","Authorization","Authentication","",""
"","1684","Check displaying of dashboard page","LMS system","Thu Apr 30 16:56:27 UTC 2026","passed","Thu Apr 30 16:56:29 UTC 2026","Dashboard","Dashboard","",""
"","3605","User login with correct email and password","LMS system","Thu Apr 30 16:56:13 UTC 2026","passed","Thu Apr 30 16:56:16 UTC 2026","Authorization","Authentication","",""
"","1734","Check displaying of empty courses list","LMS system","Thu Apr 30 16:56:21 UTC 2026","passed","Thu Apr 30 16:56:23 UTC 2026","Courses","Courses","",""
"","2083","Registration with correct email, username and password","LMS system","Thu Apr 30 16:56:19 UTC 2026","passed","Thu Apr 30 16:56:21 UTC 2026","Registration","Authentication","",""
"","4083","Edit course","LMS system","Thu Apr 30 16:56:23 UTC 2026","passed","Thu Apr 30 16:56:27 UTC 2026","Courses","Courses","",""
"","1518","Navigation from login page to registration page","LMS system","Thu Apr 30 16:56:17 UTC 2026","passed","Thu Apr 30 16:56:19 UTC 2026","Authorization","Authentication","",""
